0.02,100.7,65.2,164.8,105,2315.3,108.6
0.01,82.5,99,101.1,63.8,2498.6,195.8
0.11,110,74,262.8,52.4,2212.3,130.8
0.43,81.5,140.6,378.5,110.1,2680.9,122.5
0.45,185.8,185.8,232.8,126.5,2229.2,41.8
0,380.7,271.2,727.9,177,2099.8,134.9
1.01,380.4,645.3,1098.8,104.3,2293.2,119.1
0.29,95.6,892.4,872.2,103.2,2334.9,172
0,47.9,864.1,1004.7,58.6,2604.6,102.6
0.6,130.9,641.8,1331.3,403.9,2468.5,164.3
0.26,252.7,393.7,1763.8,326.7,2381.2,241.6
0.45,513.2,501.2,828.6,237.8,2359,132.5
0.3,734.9,1136.6,852,134.9,2345,201.2
0,943.6,645.3,1454.1,549.7,2351.6,139.8
0.11,1168.4,916.6,1251.7,448.3,2045.3,128
0.22,576.2,929.1,929.3,548.6,2493.2,115.4
0.23,1105.2,1102,799.7,612.4,2415.7,124.3
0,1551.7,1142.6,1034.2,1175.6,2123.5,168.3
0.43,1484.6,1085.4,949,1142.7,2294.6,61.9
0.71,1440.9,725,1102.4,631.4,2267.3,200.7
0.16,1810.9,875.9,1799,772.8,2384.9,66
0.54,1082.9,1148.5,1846.1,782.6,2339.8,54.9
0.3,1529.3,722.9,1538.7,746.2,2502.5,93
0.13,1043.4,751.7,1389.7,1261.2,2381.1,144.4
0.53,1477,1201.1,1610.9,940.5,2202.6,80.4
0.07,1120.2,1087.4,1582.2,665.7,2409.4,121.5
0.48,998.7,821.1,2171.8,1401.3,2137.3,148.3
0.48,1326.3,1211.1,1643.2,977.6,2366.1,68.2
1.48,933.2,1076.8,1451.1,870.4,2201.4,201
0.39,1434,692.3,1858.6,1397.4,2025.3,43.7
1.47,874.6,634.7,1467.9,1346.1,2912.2,262.8
1,1477,762.3,1694.7,1751.6,2360.1,211.3
1.54,1334.5,658,1697.2,966.1,2182.9,134.1
4.5,1157.8,820.7,1770.6,1121.6,2582.2,86.8
0.65,921.6,1233.1,1588.9,1121.4,2314.1,165.9
1.71,1435.3,1245.7,1557.6,1465.6,2141.4,174.8
0.34,1255.1,1140,1904.2,1206.1,2350.4,197.2
0.56,1917.9,1402.9,1649.9,617.3,2462.5,140.1
1.62,1137.5,1150.2,1641.8,1021,2606.1,63.2
1,1021.4,1220.8,1630,1025.5,2354.4,148.9
4.14,1151,979.3,1419.8,1574.6,2493.6,109.5
1.53,1435,1220.7,1627.6,989.8,2593.6,98.7
1.74,1122.5,1526.4,2147.4,1362.7,2233.1,96.4
3.19,1355,1212.9,1251.1,1202.7,2365.5,152.3
3.52,1250,1013.5,1909,1324.4,2119.3,122.1
3.39,1526.4,1289.8,1749.2,1277.6,2041.4,89.6
3.6,1295.4,1150,1612,1099,2454.5,215.9
0.09,1570.3,565.7,1473.3,906.9,2222.5,155.7
0.59,2265.2,793.9,1551.3,1065,2590.7,250.4
0.27,1501.5,1543.9,1858.2,1014.4,2488.5,348.8
2.14,1728.3,680.8,1790.4,1626.9,2318.3,251
0.18,1734.9,685.4,1819.8,1672.1,2369.2,76.9
0.04,1591.8,482.2,2289.7,1444,2217.1,81
0.11,1791.9,626.1,1736,1732.9,2499.5,172.8
0.55,1543.1,845.4,1532.4,1129.8,2512.6,162.2
0.28,1852,723.3,1346.8,1629.9,2067.9,235
3.57,1944.6,793.1,1834.7,1767.2,2574.3,196.1
1.05,1718.7,462.2,1764.2,1351.5,2369.5,139.8
5.89,1820.8,836.4,1368.6,608.2,2272.3,354
0.16,2050.3,828.3,1701.6,1180.6,2479.1,345.4
0.68,2140.2,726.3,1472.6,734,2096.2,63.4
0.47,2090.8,712.6,1533.4,1310.5,2547.2,78.9
2.14,2194.8,522.2,1534.2,1305.7,2264.6,58.7
0.6,1746,575.9,1554,1261.9,1963.8,156
0.52,1719.4,606.2,1296.3,695.5,2485.8,63.1
3.56,1711.7,463,1251,1350.4,2258.7,127.3
4.97,2120,220,928.9,1579.3,2137.7,277.9
0.86,1856.6,479.3,1034.3,1379.3,2290.1,53
2.21,1749.9,323.9,1337.1,1414.9,2256.3,101.4
1.37,1773.1,666.7,1066.2,1759.9,2374.8,244.4
4.39,1819.3,1085.2,1373.8,1154,2386.8,44.5
7.52,1594.8,1179.9,1015.3,1187,2122.4,221.5
8.86,1319.5,772,1408.8,2037.6,2359.4,160.9
3.37,1662.7,1019.9,1400.7,1613.6,2556.1,233.4
3.97,1965.2,913.2,1179,1418.2,1966.7,116.2
9.82,1524.2,800.7,1732,1230.6,2408.6,119.2
19.72,1982.3,991.1,1706.9,1666.8,2069.4,207.2
7.51,2354.7,1081.8,1990.7,1701.3,2164,193
15.74,1775.8,1033.6,1464.8,1154.2,2335.6,160.4
8.94,1669,1240.4,1608.7,1428.6,2427.9,99.5
13.11,1903.8,787.9,1666.5,1060.6,2305.8,204.1
11.19,1601,914.3,1807.5,1130.3,2260.9,151.5
10.01,1775.6,749.4,2096.5,1231.4,2314.2,323
10.3,1789,807.9,1339.3,829.9,2202.6,115.1
