5,865,2022,2720,2825,3492,598
2.9,2989,3488,1869,2095,3400,692
3.1,2814,1875,3038,3386,3493,59
4.9,1342,2059,2823,1515,3495,440
2.7,3120,3048,3139,1948,3490,2365
1.6,3434,1830,2985,3288,3392,950
11.8,2748,1966,1840,3221,3391,2019
32.6,2809,3488,3222,3407,3491,234
65.2,2706,1996,3216,3383,3397,334
123.3,3220,2748,1895,2053,3493,217
