"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"1","9","865.0000","0.80000","0.02439","10.1214"
"2","19","2989.0000","0.80000","0.02439","37.7988"
"3","29","2814.0000","0.80000","0.02439","36.7398"
"4","39","1342.0000","0.80000","0.02439","35.5618"
"5","49","3120.0000","0.80000","0.02439","46.2726"
"6","59","3434.0000","0.80000","0.02439","32.6274"
"7","69","2748.0000","0.80000","0.02439","36.7154"
"8","79","2809.0000","0.80000","0.02439","33.3608"
"9","89","2706.0000","0.80000","0.02439","37.8622"
"10","99","3220.0000","0.80000","0.02439","34.8002"
