"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"genes"
"1";"9";"2022.0000";"0.4908";"0.5092";"-0.014679746755619782,-0.8712739252583073,-1,-0.7268181468211976,0.21826581283065385,-1,0.27842257850130986,1,-0.2678411333914841,1,-0.9089048867409963,-0.41876611521928775,0.5375939814368931,-1,-0.37717043199028744,-0.06749618571039603,-1,-0.948935976284721,1,-0.9077982253273076,-0.7874268897552739,-0.7459188311464,-1,-1,-0.42416991947555915,-0.848815543192396,-0.698179999907026,-1,-0.12601064953909635,0.3188275792477132,-0.5423477179217306,0.750419396506923,-1,0.047377199433011,0.14176750556331524,0.9852499174175321,0.9966940662408377,-1,1,0.021902767422168373,0.060734330909383294"
"2";"19";"3488.0000";"0.5047";"0.4953";"0.4279447674857586,-1,-0.22147397444030137,0.2855194569243785,-0.24881581562502558,0.4514036586692648,0.8252489624891757,0.8566690991591399,-0.11951852690413084,0.6090855271618085,-0.9084509492370271,0.11144528007456855,0.5445512098326926,-0.9078330199398703,-0.17680003001567923,-0.1333349774177502,-0.9815879329155254,-0.6041985253212244,0.08022273476993191,-0.8761045575602543,-0.6023148218288383,-1,-1,-0.8301208764508908,-0.23386381634743494,-0.8666946077077753,-0.9002346184315727,-1,-0.03256440939276767,0.2929958339305372,-1,0.5015354666689789,0.10835234723264531,0.737154625272084,0.4689919334270372,1,0.8128120876972987,-1,1,-0.13209116084322073,0.29542374474917227"
"3";"29";"1875.0000";"0.5479";"0.4521";"0.4279447674857586,-1,-0.22147397444030137,0.2855194569243785,-0.24881581562502558,0.4514036586692648,0.8252489624891757,0.44047102333418797,-0.5278482933570636,-0.04347734292765654,-1,-0.4684193683787341,-0.7295890659539973,-0.9981323811430612,-0.17583424688662197,0.3216722441817539,-0.5197404466271369,-0.6403538183977033,0.930042855212638,-1,-0.9041405235246676,-0.26543774406471815,-1,-0.0640904314351014,-0.10599737244605478,0.5348447658439237,-0.956854695968948,-0.7486351932010784,0.3427715608210966,0.331587326679302,-0.2457051616381498,-0.022908773332151633,-1,-0.3230749632359159,-0.5237940665014051,0.4785750724174752,1,-0.5167613091854744,-0.13059570975416213,1,1"
"4";"39";"2059.0000";"0.6034";"0.3966";"0.3651429032701929,-1,-0.8610433278673564,-1,-0.23852818165551237,0.4514036586692648,0.8252489624891757,0.44047102333418797,-0.5278482933570636,-0.04347734292765654,-1,-0.4684193683787341,-0.7295890659539973,-0.9981323811430612,-0.17583424688662197,0.3216722441817539,-0.5197404466271369,-0.6403538183977033,0.930042855212638,-1,-0.9041405235246676,-0.26543774406471815,-1,-0.0640904314351014,-0.10599737244605478,0.5348447658439237,-0.8353912413709068,-1,0.11893961653811747,-0.09339449706335244,-0.06276531753955486,-0.18412399988505013,-0.8301288915108626,-0.7914057122320355,-0.7745644699927519,0.5801137092228336,1,-0.06901111087210687,1,-1,0.2577516916998497"
"5";"49";"3048.0000";"0.6361";"0.3639";"0.4487400873521139,-1,-0.333584087892086,-0.9315949671521165,-0.7255876821665893,0.6989223596302014,0.7350656276096799,1,-1,-0.2715114497691183,-0.8187350639494095,-0.8077586371742693,-0.5505572841301308,-1,-0.9780423469296732,0.40109271464618945,-0.5249629837820806,0.036020947863745906,1,-1,-0.8260302349791612,-0.2666941782260273,-1,0.3674378232300983,0.7364400742440388,0.5348447658439237,-0.956854695968948,-0.30114996973321595,0.6005844425363703,0.6824017078844047,-0.19646198103200782,0.2529960909456408,-0.43423923850906365,-0.7914057122320355,-0.7745644699927519,0.5801137092228336,1,-0.06901111087210687,1,-1,0.2577516916998497"
"6";"59";"1830.0000";"0.6874";"0.3126";"0.22381737554483622,-0.6192454003085724,-0.6137259854961132,-0.6071917712385289,-0.05842703006452399,-0.0030355828524488704,0.54298056297749,1,-1,-0.4524489286030732,-1,-0.7950558916330244,-0.0020616230185543927,-0.54089934522106,-0.5955436787184765,0.7991387686465197,-0.5060661747847003,-0.17772184570094568,1,-1,-0.8260302349791612,-0.2666941782260273,-1,0.3674378232300983,0.7364400742440388,0.5348447658439237,-0.956854695968948,-0.30114996973321595,0.6005844425363703,0.6824017078844047,-0.19646198103200782,0.2529960909456408,-0.43423923850906365,-0.7914057122320355,-0.7745644699927519,0.14252871761511493,0.2092126619942764,-0.5028183437374627,0.8387666962227712,-0.15434627707561233,-0.428368839871756"
"7";"69";"1966.0000";"0.7037";"0.2963";"0.22381737554483622,-0.6192454003085724,-0.6137259854961132,-0.6071917712385289,-0.05842703006452399,-0.0030355828524488704,0.54298056297749,1,-1,-0.4524489286030732,-1,-0.7950558916330244,-0.0020616230185543927,-0.54089934522106,-0.5955436787184765,0.7991387686465197,-0.46246981274248666,-0.2609940482086723,1,-0.8766757753764347,-0.3083148167217245,-0.2666941782260273,-1,1,-0.02446211006426141,0.6670754680037434,-0.7320389321455967,0.2429569107458528,1,0.5741006438490714,0.31741857377601945,0.35902305088706343,-0.405621938414528,-0.11411963231372763,-1,0.566230420366806,0.602939260770793,0.2497927582185373,1,0.21987702569199874,-0.2957580345704882"
"8";"79";"3488.0000";"0.7389";"0.2611";"0.6533854828511529,-1,-0.38754357886305635,-0.41473420953126855,-0.1365641455042279,0.41138661983940433,0.8825367792975823,0.1601661161930738,-0.8388523401591411,-0.026856480308675046,-1,-1,0.0779393665097875,-0.3503996163535944,0.12426154182907653,0.05327118686381421,-0.4146320084204407,-0.7259043308397246,0.5909696759512431,-0.7915562280894823,-0.7327323245655706,-0.2666941782260273,-1,0.25980544104971603,0.9429967008838062,0.7131177349482106,-1,-0.20520514312253435,0.5582139000370854,0.5681481493574391,0.3684459574107434,-0.12165919504251083,-0.13140685482379239,-0.12849782939771487,-0.7634102899466363,0.8741889094851217,0.1303750075444835,-0.12049809485724877,0.8500076631768066,0.21987702569199874,-0.2957580345704882"
"9";"89";"1996.0000";"0.7515";"0.2485";"0.2594307924239322,-0.6180713204355769,-0.7319700836621466,-0.6357361732626349,-0.3838814006678189,-0.23342294548951117,0.1324129124973731,0.7257109737008691,-1,-0.2558773273633278,-1,-0.36685528953825597,-0.4127896540084197,-0.34306483949996847,-0.9088583885820624,0.5188330651242345,-0.8148272393268647,-1,0.8681311752252221,-0.967185970978343,-0.49920656827525434,-0.317648252248105,-1,1,0.22632487292002934,0.8374173545576391,-1,-0.2718312755762897,0.6845949579335013,0.2921566114171986,0.2798574901236978,0.5347261829307917,-0.8022808199664083,0.7194321047531855,-1,0.9771439116237663,0.5180836411476423,0.2143444889527839,0.8194625641903546,0.24441541086514068,-0.23738578138252625"
"10";"99";"2748.0000";"0.7816";"0.2184";"0.12191050316001786,-0.8969567997597112,-0.5370699383723057,-0.5621257809596922,-0.35682944174802766,-0.01621823967294095,0.3274716729745021,1,-1,-0.6964688406227371,-0.759043951765819,-0.2776927772893095,-0.09810186449735853,-0.20222173002614593,-0.9445716031701317,0.884923657601761,-0.7769851242179983,-1,0.6830173634712641,-0.3693208955426951,-0.7651530869508766,-0.1785041951387838,-0.9006838161486153,0.5136829987085669,0.20930032695364492,0.7885308066460767,-1,-0.2626618598792969,1,0.5184883960257217,0.533058432969276,0.2008758653199056,-0.6804275561763272,0.2831471895493172,-1,0.683459850870327,0.6380870879730426,-0.05872613233166779,1,0.008218587844973257,-0.1479049557244159"
