"id";"generation_number";"average_fitness";"crossover_probability";"mutation_probability"
"1";"0";"65.2000";"0.5000";"0.5000"
"2";"1";"99.0000";"0.5081";"0.4919"
"3";"2";"74.0000";"0.5005";"0.4995"
"4";"3";"140.6000";"0.4937";"0.5063"
"5";"4";"185.8000";"0.4858";"0.5142"
"6";"5";"271.2000";"0.4784";"0.5216"
"7";"6";"645.3000";"0.4846";"0.5154"
"8";"7";"892.4000";"0.4903";"0.5097"
"9";"8";"864.1000";"0.4839";"0.5161"
"10";"9";"641.8000";"0.4908";"0.5092"
"11";"10";"393.7000";"0.4831";"0.5169"
"12";"11";"501.2000";"0.4896";"0.5104"
"13";"12";"1136.6000";"0.4839";"0.5161"
"14";"13";"645.3000";"0.4905";"0.5095"
"15";"14";"916.6000";"0.4955";"0.5045"
"16";"15";"929.1000";"0.4904";"0.5096"
"17";"16";"1102.0000";"0.4964";"0.5036"
"18";"17";"1142.6000";"0.4910";"0.5090"
"19";"18";"1085.4000";"0.4967";"0.5033"
"20";"19";"725.0000";"0.5047";"0.4953"
"21";"20";"875.9000";"0.5107";"0.4893"
"22";"21";"1148.5000";"0.5144";"0.4856"
"23";"22";"722.9000";"0.5204";"0.4796"
"24";"23";"751.7000";"0.5267";"0.4733"
"25";"24";"1201.1000";"0.5308";"0.4692"
"26";"25";"1087.4000";"0.5362";"0.4638"
"27";"26";"821.1000";"0.5418";"0.4582"
"28";"27";"1211.1000";"0.5481";"0.4519"
"29";"28";"1076.8000";"0.5416";"0.4584"
"30";"29";"692.3000";"0.5479";"0.4521"
"31";"30";"634.7000";"0.5544";"0.4456"
"32";"31";"762.3000";"0.5613";"0.4387"
"33";"32";"658.0000";"0.5676";"0.4324"
"34";"33";"820.7000";"0.5731";"0.4269"
"35";"34";"1233.1000";"0.5791";"0.4209"
"36";"35";"1245.7000";"0.5852";"0.4148"
"37";"36";"1140.0000";"0.5885";"0.4115"
"38";"37";"1402.9000";"0.5942";"0.4058"
"39";"38";"1150.2000";"0.5993";"0.4007"
"40";"39";"1220.8000";"0.6034";"0.3966"
"41";"40";"979.3000";"0.6079";"0.3921"
"42";"41";"1220.7000";"0.6113";"0.3887"
"43";"42";"1526.4000";"0.6067";"0.3933"
"44";"43";"1212.9000";"0.6127";"0.3873"
"45";"44";"1013.5000";"0.6163";"0.3837"
"46";"45";"1289.8000";"0.6216";"0.3784"
"47";"46";"1150.0000";"0.6283";"0.3717"
"48";"47";"565.7000";"0.6356";"0.3644"
"49";"48";"793.9000";"0.6413";"0.3587"
"50";"49";"1543.9000";"0.6361";"0.3639"
"51";"50";"680.8000";"0.6429";"0.3571"
"52";"51";"685.4000";"0.6481";"0.3519"
"53";"52";"482.2000";"0.6554";"0.3446"
"54";"53";"626.1000";"0.6493";"0.3507"
"55";"54";"845.4000";"0.6556";"0.3444"
"56";"55";"723.3000";"0.6621";"0.3379"
"57";"56";"793.1000";"0.6697";"0.3303"
"58";"57";"462.2000";"0.6762";"0.3238"
"59";"58";"836.4000";"0.6819";"0.3181"
"60";"59";"828.3000";"0.6874";"0.3126"
"61";"60";"726.3000";"0.6817";"0.3183"
"62";"61";"712.6000";"0.6757";"0.3243"
"63";"62";"522.2000";"0.6828";"0.3172"
"64";"63";"575.9000";"0.6761";"0.3239"
"65";"64";"606.2000";"0.6809";"0.3191"
"66";"65";"463.0000";"0.6729";"0.3271"
"67";"66";"220.0000";"0.6809";"0.3191"
"68";"67";"479.3000";"0.6889";"0.3111"
"69";"68";"323.9000";"0.6971";"0.3029"
"70";"69";"666.7000";"0.7037";"0.2963"
"71";"70";"1085.2000";"0.7106";"0.2894"
"72";"71";"1179.9000";"0.7054";"0.2946"
"73";"72";"772.0000";"0.6992";"0.3008"
"74";"73";"1019.9000";"0.7058";"0.2942"
"75";"74";"913.2000";"0.7116";"0.2884"
"76";"75";"800.7000";"0.7169";"0.2831"
"77";"76";"991.1000";"0.7224";"0.2776"
"78";"77";"1081.8000";"0.7268";"0.2732"
"79";"78";"1033.6000";"0.7324";"0.2676"
"80";"79";"1240.4000";"0.7389";"0.2611"
"81";"80";"787.9000";"0.7441";"0.2559"
"82";"81";"914.3000";"0.7493";"0.2507"
"83";"82";"749.4000";"0.7550";"0.2450"
"84";"83";"807.9000";"0.7484";"0.2516"
"85";"84";"996.9000";"0.7535";"0.2465"
"86";"85";"1000.4000";"0.7585";"0.2415"
"87";"86";"771.2000";"0.7660";"0.2340"
"88";"87";"736.0000";"0.7605";"0.2395"
"89";"88";"1131.8000";"0.7561";"0.2439"
"90";"89";"1092.2000";"0.7515";"0.2485"
"91";"90";"1166.7000";"0.7562";"0.2438"
"92";"91";"1459.6000";"0.7615";"0.2385"
"93";"92";"1640.3000";"0.7666";"0.2334"
"94";"93";"1559.6000";"0.7720";"0.2280"
"95";"94";"1935.2000";"0.7763";"0.2237"
"96";"95";"1547.2000";"0.7714";"0.2286"
"97";"96";"1192.9000";"0.7770";"0.2230"
"98";"97";"1775.5000";"0.7818";"0.2182"
"99";"98";"1658.3000";"0.7864";"0.2136"
"100";"99";"1633.9000";"0.7816";"0.2184"
