"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"average_ball_in_play_time"
"1";"9";"2022.0000";"0.4908";"0.5092";"35.7314"
"2";"19";"3488.0000";"0.5047";"0.4953";"34.7126"
"3";"29";"1875.0000";"0.5479";"0.4521";"40.4554"
"4";"39";"2059.0000";"0.6034";"0.3966";"37.7428"
"5";"49";"3048.0000";"0.6361";"0.3639";"32.3588"
"6";"59";"1830.0000";"0.6874";"0.3126";"34.9126"
"7";"69";"1966.0000";"0.7037";"0.2963";"33.9252"
"8";"79";"3488.0000";"0.7389";"0.2611";"42.9858"
"9";"89";"1996.0000";"0.7515";"0.2485";"24.9588"
"10";"99";"2748.0000";"0.7816";"0.2184";"35.6160"
