"id","generation_number","best_fitness","average_fitness","worst_fitness","crossover_probability","mutation_probability"
"1","0","3394.0000","2315.3000","1722.0000","0.00100","0.00100"
"2","1","3396.0000","2498.6000","1562.0000","0.00100","0.00100"
"3","2","3386.0000","2212.3000","1773.0000","0.00100","0.00100"
"4","3","3490.0000","2680.9000","1699.0000","0.00100","0.00100"
"5","4","3491.0000","2229.2000","1562.0000","0.00100","0.00100"
"6","5","3490.0000","2099.8000","1656.0000","0.00100","0.00100"
"7","6","3492.0000","2293.2000","1701.0000","0.00100","0.00100"
"8","7","3492.0000","2334.9000","1548.0000","0.00100","0.00100"
"9","8","3492.0000","2604.6000","1650.0000","0.00100","0.00100"
"10","9","3492.0000","2468.5000","1770.0000","0.00100","0.00100"
"11","10","3492.0000","2381.2000","1725.0000","0.00100","0.00100"
"12","11","3242.0000","2359.0000","1701.0000","0.00100","0.00100"
"13","12","3407.0000","2345.0000","1722.0000","0.00100","0.00100"
"14","13","3495.0000","2351.6000","1682.0000","0.00100","0.00100"
"15","14","3493.0000","2045.3000","1675.0000","0.00100","0.00100"
"16","15","3495.0000","2493.2000","1685.0000","0.00100","0.00100"
"17","16","3494.0000","2415.7000","1704.0000","0.00100","0.00100"
"18","17","3389.0000","2123.5000","1705.0000","0.00100","0.00100"
"19","18","3388.0000","2294.6000","1760.0000","0.00100","0.00100"
"20","19","3400.0000","2267.3000","1646.0000","0.00100","0.00100"
"21","20","3492.0000","2384.9000","1700.0000","0.00100","0.00100"
"22","21","3392.0000","2339.8000","1655.0000","0.00100","0.00100"
"23","22","3394.0000","2502.5000","1772.0000","0.00100","0.00100"
"24","23","3391.0000","2381.1000","1686.0000","0.00100","0.00100"
"25","24","3494.0000","2202.6000","1703.0000","0.00100","0.00100"
"26","25","3398.0000","2409.4000","1645.0000","0.00100","0.00100"
"27","26","3492.0000","2137.3000","1687.0000","0.00100","0.00100"
"28","27","3392.0000","2366.1000","1684.0000","0.00100","0.00100"
"29","28","3408.0000","2201.4000","1654.0000","0.00100","0.00100"
"30","29","3493.0000","2025.3000","1646.0000","0.00100","0.00100"
"31","30","3498.0000","2912.2000","1701.0000","0.00100","0.00100"
"32","31","3241.0000","2360.1000","1774.0000","0.00100","0.00100"
"33","32","3399.0000","2182.9000","1774.0000","0.00100","0.00100"
"34","33","3492.0000","2582.2000","1653.0000","0.00100","0.00100"
"35","34","3407.0000","2314.1000","1687.0000","0.00100","0.00100"
"36","35","3492.0000","2141.4000","1654.0000","0.00100","0.00100"
"37","36","3400.0000","2350.4000","1684.0000","0.00100","0.00100"
"38","37","3492.0000","2462.5000","1775.0000","0.00100","0.00100"
"39","38","3390.0000","2606.1000","2027.0000","0.00100","0.00100"
"40","39","3495.0000","2354.4000","1675.0000","0.00100","0.00100"
"41","40","3391.0000","2493.6000","1561.0000","0.00100","0.00100"
"42","41","3498.0000","2593.6000","1768.0000","0.00100","0.00100"
"43","42","3397.0000","2233.1000","1765.0000","0.00100","0.00100"
"44","43","3492.0000","2365.5000","1685.0000","0.00100","0.00100"
"45","44","3391.0000","2119.3000","1562.0000","0.00100","0.00100"
"46","45","3407.0000","2041.4000","1643.0000","0.00100","0.00100"
"47","46","3495.0000","2454.5000","1653.0000","0.00100","0.00100"
"48","47","3388.0000","2222.5000","1700.0000","0.00100","0.00100"
"49","48","3392.0000","2590.7000","2164.0000","0.00100","0.00100"
"50","49","3490.0000","2488.5000","1760.0000","0.00100","0.00100"
"51","50","3494.0000","2318.3000","1723.0000","0.00100","0.00100"
"52","51","3393.0000","2369.2000","1655.0000","0.00100","0.00100"
"53","52","3492.0000","2217.1000","1685.0000","0.00100","0.00100"
"54","53","3391.0000","2499.5000","1897.0000","0.00100","0.00100"
"55","54","3497.0000","2512.6000","1813.0000","0.00100","0.00100"
"56","55","2774.0000","2067.9000","1686.0000","0.00100","0.00100"
"57","56","3492.0000","2574.3000","1683.0000","0.00100","0.00100"
"58","57","3391.0000","2369.5000","1653.0000","0.00100","0.00100"
"59","58","3392.0000","2272.3000","1655.0000","0.00100","0.00100"
"60","59","3392.0000","2479.1000","1765.0000","0.00100","0.00100"
"61","60","3494.0000","2096.2000","1561.0000","0.00100","0.00100"
"62","61","3491.0000","2547.2000","1686.0000","0.00100","0.00100"
"63","62","3496.0000","2264.6000","1561.0000","0.00100","0.00100"
"64","63","3391.0000","1963.8000","1561.0000","0.00100","0.00100"
"65","64","3493.0000","2485.8000","1777.0000","0.00100","0.00100"
"66","65","3494.0000","2258.7000","1707.0000","0.00100","0.00100"
"67","66","3388.0000","2137.7000","1686.0000","0.00100","0.00100"
"68","67","3392.0000","2290.1000","1687.0000","0.00100","0.00100"
"69","68","3233.0000","2256.3000","1701.0000","0.00100","0.00100"
"70","69","3391.0000","2374.8000","1687.0000","0.00100","0.00100"
"71","70","3406.0000","2386.8000","1773.0000","0.00100","0.00100"
"72","71","2378.0000","2122.4000","1774.0000","0.00100","0.00100"
"73","72","3394.0000","2359.4000","1873.0000","0.00100","0.00100"
"74","73","3494.0000","2556.1000","1758.0000","0.00100","0.00100"
"75","74","2359.0000","1966.7000","1773.0000","0.00100","0.00100"
"76","75","3394.0000","2408.6000","1729.0000","0.00100","0.00100"
"77","76","3074.0000","2069.4000","1562.0000","0.00100","0.00100"
"78","77","3493.0000","2164.0000","1687.0000","0.00100","0.00100"
"79","78","3492.0000","2335.6000","1764.0000","0.00100","0.00100"
"80","79","3491.0000","2427.9000","1701.0000","0.00100","0.00100"
"81","80","3488.0000","2305.8000","1561.0000","0.00100","0.00100"
"82","81","3232.0000","2260.9000","1684.0000","0.00100","0.00100"
"83","82","3493.0000","2314.2000","1684.0000","0.00100","0.00100"
"84","83","3226.0000","2202.6000","1685.0000","0.00100","0.00100"
"85","84","3490.0000","2297.8000","1690.0000","0.00100","0.00100"
"86","85","3490.0000","2512.0000","1866.0000","0.00100","0.00100"
"87","86","3490.0000","2506.4000","1689.0000","0.00100","0.00100"
"88","87","3406.0000","2376.2000","1561.0000","0.00100","0.00100"
"89","88","2814.0000","2084.9000","1652.0000","0.00100","0.00100"
"90","89","3397.0000","2650.4000","2154.0000","0.00100","0.00100"
"91","90","3399.0000","2669.8000","1655.0000","0.00100","0.00100"
"92","91","3496.0000","2520.4000","1729.0000","0.00100","0.00100"
"93","92","3235.0000","2377.0000","1768.0000","0.00100","0.00100"
"94","93","3492.0000","2361.0000","1714.0000","0.00100","0.00100"
"95","94","3496.0000","2562.7000","1727.0000","0.00100","0.00100"
"96","95","3390.0000","2253.8000","1773.0000","0.00100","0.00100"
"97","96","3394.0000","2511.3000","1725.0000","0.00100","0.00100"
"98","97","3492.0000","2448.2000","1686.0000","0.00100","0.00100"
"99","98","3491.0000","2484.8000","1704.0000","0.00100","0.00100"
"100","99","3493.0000","2342.1000","1655.0000","0.00100","0.00100"
