"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"1","9","3492.0000","0.00100","0.00100","41.6534"
"2","19","3400.0000","0.00100","0.00100","42.5316"
"3","29","3493.0000","0.00100","0.00100","38.1106"
"4","39","3495.0000","0.00100","0.00100","37.1720"
"5","49","3490.0000","0.00100","0.00100","44.1624"
"6","59","3392.0000","0.00100","0.00100","41.5558"
"7","69","3391.0000","0.00100","0.00100","42.8508"
"8","79","3491.0000","0.00100","0.00100","33.5304"
"9","89","3397.0000","0.00100","0.00100","41.6780"
"10","99","3493.0000","0.00100","0.00100","36.9078"
