"id","generation_number","fitness","crossover_probability","mutation_probability","genes"
"1","9","3492.0000","0.00100","0.00100","-0.09306964511051774,0.7359815645031631,0.9849994922988117,0.087892543990165,-0.09401164436712861,-0.12153961416333914,-0.8916498888283968,0.9425652618519962,0.7826021113432944,0.9893743824213743,-0.9008779972791672,0.37623440101742744,-0.849055593367666,0.3940255409106612,-0.004828593228012323,0.38623078912496567,0.3092663697898388,0.4971823594532907,-0.13560899207368493,-0.6870894529856741,0.9905724683776498,-0.7258182363584638,-0.7684886897914112,-0.4203797373920679,0.7127652922645211,-0.730932941660285,-0.8578296690247953,0.7857440877705812,-0.9595630271360278,0.5687555018812418,-0.8871693760156631,0.5516000068746507,-0.9621112011373043,-0.060072523541748524,0.9446411835961044,0.5161815197207034,0.6773153957910836,-0.3170047295279801,0.42631008056923747,-0.42280717147514224,-0.12363060005009174"
"2","19","3400.0000","0.00100","0.00100","0.21190575137734413,-0.40165360923856497,0.2664627810008824,-0.4292672439478338,0.5864272927865386,-0.6978069902397692,-0.26362623227760196,0.06579588772729039,-0.17911361018195748,-0.5707120164297521,0.40453343000262976,-0.9329288280569017,0.5436399360187352,-0.38150682020932436,-0.6176673141308129,0.9647024939768016,-0.4282649252563715,-0.25881777703762054,0.15807066252455115,0.9853438469581306,0.3396500893868506,-0.8033057707361877,-0.25987352104857564,-0.7670473004691303,-0.22041373699903488,0.4209073865786195,-0.9601797834038734,0.011175398249179125,0.2737509226426482,-0.012202704325318336,-0.8768298393115401,0.547505758702755,-0.5204428983852267,-0.06239351397380233,-0.707556264474988,-0.7523827427066863,-0.8620283883064985,-0.5026857531629503,-0.7892372407950461,0.11438307305797935,-0.6898968620225787"
"3","29","3493.0000","0.00100","0.00100","0.26285101287066936,0.11636883532628417,-0.28896189387887716,0.8875922420993447,-0.6275727464817464,0.6889621056616306,0.10674865497276187,-0.3867840217426419,0.64808464422822,-0.3770061330869794,-0.8931124843657017,0.8013382321223617,-0.42964854603633285,-0.792687049601227,0.0052555580623447895,-0.6997474376112223,-0.581578154116869,0.1549847130663693,0.015254560392349958,-0.6905239806510508,0.7155378614552319,0.9155496684834361,0.13070905674248934,0.40573747642338276,0.12626290367916226,0.9864092241041362,0.5455150231719017,0.17018579551950097,-0.6589668863452971,-0.07590560056269169,-0.11122371396049857,0.853025218937546,0.30420320061966777,-0.08155326824635267,0.016652001067996025,0.19818187411874533,0.3688947921618819,0.506670106202364,-0.4451924143359065,-0.7175181321799755,-0.5128473499789834"
"4","39","3495.0000","0.00100","0.00100","0.8020484261214733,-0.09080532565712929,0.6305160606279969,0.03397256229072809,0.3042902182787657,-0.9157791514880955,0.24074132088571787,-0.5302129019983113,0.3807001132518053,-0.4444780726917088,-0.8114290707744658,0.9083967497572303,-0.31817593006417155,0.7423955062404275,0.3070629248395562,0.7246900610625744,0.4880387056618929,0.26768815563991666,0.4035586197860539,0.15329567296430469,0.08585189562290907,-0.10663229739293456,0.6846913383342326,0.041925664991140366,-0.8316533588804305,-0.8158356798812747,0.08084436925128102,-0.43690591398626566,0.7045398931950331,0.978386246599257,0.32425590325146914,-0.9749681409448385,0.9674984188750386,-0.3396132024936378,-0.29157046927139163,-0.5002757287584245,0.3999117729254067,-0.14217754732817411,-0.8873463785275817,0.5409904601983726,-0.3265188210643828"
"5","49","3490.0000","0.00100","0.00100","0.7095505022443831,0.47527874633669853,-0.554440476000309,0.09205036843195558,-0.8226414043456316,-0.3440203107893467,-0.9042677585966885,-0.4520532228052616,-0.8605161854065955,-0.6760519691742957,0.32993234088644385,0.5649661463685334,-0.094293178524822,0.386810211930424,-0.7933772727847099,0.2433728501200676,0.15867157466709614,-0.13987523457035422,0.032449094112962484,-0.12009276496246457,0.8865320230834186,-0.42520456574857235,-0.049446503166109324,-0.565519877243787,0.3560999701730907,0.08162732142955065,0.5281292097643018,-0.49896215088665485,-0.7291173874400556,-0.9916073530912399,-0.12892958289012313,-0.23206212744116783,-0.8408616748638451,0.3710915558040142,0.08876135712489486,-0.3722898936830461,-0.05600394029170275,0.43973998399451375,-0.288098000921309,-0.8504686085507274,-0.2794381487183273"
"6","59","3392.0000","0.00100","0.00100","0.26285101287066936,0.11636883532628417,-0.28896189387887716,0.8875922420993447,-0.6275727464817464,0.6889621056616306,0.10674865497276187,-0.3867840217426419,0.64808464422822,-0.3770061330869794,-0.8931124843657017,0.8013382321223617,-0.42964854603633285,-0.792687049601227,0.0052555580623447895,-0.6997474376112223,-0.581578154116869,0.1549847130663693,0.015254560392349958,-0.6905239806510508,0.7155378614552319,0.9155496684834361,0.13070905674248934,0.40573747642338276,0.12626290367916226,0.9864092241041362,0.5455150231719017,0.17018579551950097,-0.6589668863452971,-0.07590560056269169,-0.11122371396049857,0.853025218937546,0.30420320061966777,-0.08155326824635267,0.016652001067996025,0.19818187411874533,0.3688947921618819,0.506670106202364,-0.4451924143359065,-0.7175181321799755,-0.5128473499789834"
"7","69","3391.0000","0.00100","0.00100","0.9873334695585072,-0.1852306197397411,-0.2614690256305039,-0.28953665401786566,0.46564840618520975,-0.3525525080040097,-0.26820157235488296,0.2360851471312344,-0.6456443425267935,-0.3655236563645303,0.3734669261611998,0.27546902699396014,-0.5434662303887308,-0.8834429457783699,0.9715392491780221,0.5501121059060097,0.5102182514965534,0.8501861062832177,-0.22026167809963226,-0.7581904111430049,0.7632071631960571,0.5482827546074986,-0.8672977453097701,0.27160719409585,-0.7349219690077007,0.8038005051203072,0.22622759453952312,0.7877346277236938,0.14743576431646943,0.5187022415921092,-0.514895498752594,-0.1603961130604148,0.2206866955384612,-0.8334854347631335,-0.08551510004326701,0.45995592372491956,0.44828144600614905,-0.28159813582897186,0.11849189875647426,-0.9871338768862188,0.6875044903717935"
"8","79","3491.0000","0.00100","0.00100","0.26285101287066936,0.11636883532628417,-0.28896189387887716,0.8875922420993447,-0.6275727464817464,0.6889621056616306,0.10674865497276187,-0.3867840217426419,0.64808464422822,-0.3770061330869794,-0.8931124843657017,0.8013382321223617,-0.42964854603633285,-0.792687049601227,0.0052555580623447895,-0.6997474376112223,-0.581578154116869,0.1549847130663693,0.015254560392349958,-0.6905239806510508,0.7155378614552319,0.9155496684834361,0.13070905674248934,0.40573747642338276,0.12626290367916226,0.9864092241041362,0.5455150231719017,0.17018579551950097,-0.6589668863452971,-0.07590560056269169,-0.11122371396049857,0.853025218937546,0.30420320061966777,-0.08155326824635267,0.016652001067996025,0.19818187411874533,0.3688947921618819,0.506670106202364,-0.4451924143359065,-0.7175181321799755,-0.5128473499789834"
"9","89","3397.0000","0.00100","0.00100","-0.25574330938979983,0.772144831251353,0.07919411640614271,-0.943617532029748,0.7185834688134491,0.6097980225458741,0.5015676147304475,0.35540406638756394,0.11096090218052268,-0.8273687879554927,0.9469549646601081,-0.34058315167203546,0.8821399589069188,-0.7879487993195653,-0.30891913501545787,-0.3450823863968253,-0.46635175589472055,-0.9865737115032971,0.2832883642986417,-0.44373171729967,-0.4309380166232586,-0.7004943792708218,-0.6443338193930686,0.37643466610461473,-0.4075189712457359,-0.47721348190680146,-0.968963008839637,0.6006295145489275,0.039655452594161034,0.2972255488857627,-0.00971282972022891,-0.30667057214304805,-0.2562046218663454,0.7073841383680701,0.4717679531313479,-0.5450756340287626,0.3130036718212068,-0.7535954783670604,-0.7438934235833585,0.8964913655072451,-0.24843168817460537"
"10","99","3493.0000","0.00100","0.00100","-0.24328351905569434,-0.9569191364571452,-0.36624637665227056,-0.7697951616719365,0.11921817064285278,-0.9032090362161398,-0.19932379620149732,-0.5613560518249869,-0.12447471637278795,-0.416794054210186,-0.8869825061410666,0.3197991601191461,0.9488730253651738,0.6927783782593906,-0.6324681551195681,-0.3102155807428062,0.5558879603631794,0.24530478613451123,0.830278648994863,0.5377392251975834,0.48411377565935254,-0.13917532423511147,-0.632629448082298,0.8089944436214864,0.588416138663888,-0.24483283562585711,-0.016401028260588646,-0.7221525791101158,-0.17983847623690963,0.6625681491568685,0.0056464397348463535,0.07082206988707185,-0.7891933359205723,-0.5622682748362422,-0.7395187085494399,0.832914771977812,-0.803288605529815,-0.5888017793186009,0.8483177097514272,0.7115046009421349,0.062226524110883474"
