"id","generation_number","fitness","crossover_probability","mutation_probability","genes"
"1","9","5.0000","0.70000","0.10000","0.068963093450293,0.2521087471395731,0.8623450011946261,0.7668227101676166,0.06984673249535263,0.5227346142288297,0.16738147991709412,-0.17669464368373156,0.7978476627729834,0.22631655633449554,0.21167376218363643,0.4152184184640646,-0.11705412981100377,-0.3895321525167674,-0.8265037317760289,-1,0.7036012333352119,-0.0646655922755599,0.49649553559720516,0.7662514301482588,-0.2357147433795035,0.07924888995476068,-0.04039050703868269,-0.40178542491048574,-0.4232558803167194,0.9578379881568253,-0.3646038402803242,-0.5412134705111384,-0.9044775985646993,-0.681748709641397,-0.4189030104316771,0.643680289760232,0.30995284812524915,0.7785497367382049,0.9851387785747647,-0.02116782497614622,0.48837357107549906,0.3778265193104744,-0.9025486214086413,0.06694958033040166,0.324218526436016"
"2","19","2.9000","0.70000","0.10000","-0.3601472283713519,0.5811855225823819,0.8623450011946261,1,-0.0072721673641353846,0.5227346142288297,-0.17861940492875875,-0.1256297585554421,0.5015991415362806,0.18494614395312964,0.09071606118232012,0.6183661088813096,-0.2354337898548692,-0.3460633153095842,-0.9113161684945226,-1,0.22025061235763127,-0.0646655922755599,0.49649553559720516,0.4784405789803713,-0.606940707238391,-0.14520950485020873,0.22379947127774358,-0.40178542491048574,-0.13463608315214515,0.7704033760819584,-0.25022099548950794,-0.48784218179062006,-0.46361993565224113,-0.681748709641397,-0.4189030104316771,0.8173174335621297,0.1275849962141365,0.6910536512732506,1,-0.02116782497614622,0.48837357107549906,0.3407687233760953,-1,0.06694958033040166,0.14265209636650983"
"3","29","3.1000","0.70000","0.10000","0.11918462151661524,0.5811855225823819,1,1,0.22016677339561283,0.5227346142288297,-0.3864067028276622,-0.2634573271498084,0.9703004868235441,0.18494614395312964,0.5113426962867379,0.9829919892828911,0.0803055563941598,-0.8858984226826578,-1,-1,0.6864296668209134,0.18164658746682105,0.49649553559720516,0.08504604697227475,-0.3308316635899246,0.32322547179646793,0.22379947127774358,-0.40178542491048574,-0.5439275325275957,0.9578379881568253,-0.3646038402803242,-0.33406795789487653,-0.9495505357626826,-0.681748709641397,-0.5075221840292216,0.5140370068605989,0.01411930248141291,0.43366127503104507,1,-0.26094882157631216,0.38799335253424944,0.31340870615094907,-0.9391628853045404,0.19498939593322576,0.14265209636650983"
"4","39","4.9000","0.70000","0.10000","0.1857034099753947,0.8251225094310939,0.8092823234386742,0.9774246782064439,0.10232549235224724,0.2707521397154778,-0.4414265256840736,-0.2577210320159793,0.6003339359071106,0.5325145642738789,0.5113426962867379,1,0.048965759156271826,-0.8368978337850421,-0.9501288931816816,-1,0.375504562491551,-0.4102176414337009,0.49649553559720516,0.2915961699560284,-0.41118189301341773,0.4815137018915266,0.11403369293548167,-0.14072945094667377,-0.4909208729397505,0.9578379881568253,-0.3646038402803242,-0.5654613742604852,-0.9495505357626826,-0.9543047092389315,-0.5680432770866901,0.911115836398676,0.048404522426426434,0.6968927373178303,1,-0.4152368874289095,0.38799335253424944,0.31340870615094907,-0.9391628853045404,0.281417576642707,-0.0668436122126877"
"5","49","2.7000","0.70000","0.10000","0.08432644470594833,0.6517002867069095,0.8092823234386742,0.9774246782064439,0.10232549235224724,0.4878594769164919,-0.4414265256840736,-0.5365479077678174,0.43760982146486643,0.5325145642738789,0.5113426962867379,0.7637073840014637,0.048965759156271826,-0.9183807993307709,-1,-1,0.32279179911129174,-0.12954818881116803,0.5605277700349689,0.2915961699560284,-0.49320969078689814,0.4815137018915266,0.2712080041412264,-0.14072945094667377,-0.44368244800716633,0.9578379881568253,-0.3646038402803242,-0.5654613742604852,-0.9495505357626826,-0.9543047092389315,-0.3927660166751594,0.911115836398676,0.024161155521869683,0.6968927373178303,1,-0.4152368874289095,0.3584897229447961,0.5877444232348353,-0.8376128141768276,0.06775369611568752,-0.0668436122126877"
"6","59","1.6000","0.70000","0.10000","0.466240901965648,0.6517002867069095,0.8092823234386742,1,0.10232549235224724,0.4133183415513485,-0.4414265256840736,-0.43942901985719796,0.20077099874615673,0.5325145642738789,0.5394061909988522,0.6533102619927377,0.048965759156271826,-1,-0.8060629488434643,-1,0.32279179911129174,-0.12954818881116803,0.5605277700349689,0.018130222009494823,-0.49320969078689814,0.4815137018915266,0.2457857070490718,-0.14072945094667377,-0.32208779137581584,0.9578379881568253,-0.9062021263875066,-0.6131944106891751,-1,-0.9543047092389315,-0.3927660166751594,0.5066102359443901,0.18257669135928156,0.6302197714336216,1,-0.6288529341109096,0.5174162497743964,0.5877444232348353,-0.6058756118174642,0.5101729550864548,0.004211071366444261"
"7","69","11.8000","0.70000","0.10000","0.466240901965648,0.6517002867069095,0.976476842816919,1,0.22083128760568796,0.4133183415513485,-0.6166560170706361,-0.5333261440508067,0.20077099874615673,0.5325145642738789,0.5842072080820799,0.6803004479967057,-0.07630034149624407,-1,-0.938407376036048,-1,0.21268689497373996,-0.12954818881116803,0.5605277700349689,0.19737497805617743,-0.555406320700422,0.4815137018915266,0.09360778992995619,-0.20702926777303227,-0.5180410241242498,1,-1,-0.6131944106891751,-1,-0.9543047092389315,-0.3927660166751594,0.3431667373981325,0.18257669135928156,0.9154870397876949,1,-0.6288529341109096,0.287039948021993,0.7094246279448271,-0.6058756118174642,0.7558752980083228,-0.1274235435761511"
"8","79","32.6000","0.70000","0.10000","0.466240901965648,0.6517002867069095,1,0.8668893245048821,0.22083128760568796,0.4133183415513485,-0.6043411334045231,-0.35425176164135336,-0.24239931744523344,0.5325145642738789,0.10239632888697094,0.7935284935403615,-0.2258683324791491,-0.9850221257656813,-1,-1,-0.06776800258085133,-0.07373543847352265,0.7632461484521628,0.19737497805617743,-0.9494953882414847,0.34902357193641365,0.09360778992995619,-0.321575577557087,-0.19501963434740902,0.9404995310585946,-0.6752862690482289,-0.5830280955415219,-1,-0.7401011917274445,-0.3927660166751594,0.3947396595962344,0.18257669135928156,0.9154870397876949,1,-0.7010065697133541,0.08628354640677569,0.6801833693869412,-0.6058756118174642,0.9521994447801263,-0.17626982666552063"
"9","89","65.2000","0.70000","0.10000","0.665600856859237,0.655440386198461,0.974719046941027,0.8571628527250141,-0.23996863537468013,0.12956119207665318,-0.33401309647597377,-0.5874210469424724,0.3549752049148083,0.2688514721114188,0.16255317586474127,0.5787881707306951,-0.05264087556861341,-1,-1,-1,-0.04926180182956161,-0.34643121971748764,0.7632461484521628,0.19737497805617743,-0.7042371714953333,-0.059175547258928374,0.3332297097425908,0.044111550506204286,-0.5345418918412178,0.8078569443430752,-0.7330379600636661,-0.8518850907217711,-1,-1,-0.35316842221654965,0.48224772629328055,0.18257669135928156,0.8906225100159645,1,-0.7607152889948338,0.08628354640677569,0.6801833693869412,-0.6058756118174642,0.9689133278094233,-0.043536662170663445"
"10","99","123.3000","0.70000","0.10000","0.6402120080310851,0.5491633291821927,0.974719046941027,0.8639052510261536,-0.11220018737949428,0.12924149525351816,-0.33401309647597377,-0.5625867133960127,0.3549752049148083,0.33260010248050087,0.16255317586474127,0.40547316833399233,-0.07505206307396292,-1,-0.8423427859786898,-1,-0.134827833250165,-0.2271105173975229,0.7632461484521628,0.33196436390280715,-0.7042371714953333,0.0038270910736173808,0.3735490443184972,0.3328639496583491,-0.7268627930432557,0.5876021100208164,-0.5287432993762194,-0.8518850907217711,-1,-1,-0.35316842221654965,0.48224772629328055,0.40593638196587567,0.8906225100159645,1,-1,0.3571941548027098,0.38967208052054053,-0.6058756118174642,0.9689133278094233,-0.24851470040157436"
