"id","generation_number","fitness","crossover_probability","mutation_probability","average_ball_in_play_time"
"1","9","5.0000","0.70000","0.10000","3.9160"
"2","19","2.9000","0.70000","0.10000","2.0182"
"3","29","3.1000","0.70000","0.10000","2.0470"
"4","39","4.9000","0.70000","0.10000","3.2700"
"5","49","2.7000","0.70000","0.10000","3.7780"
"6","59","1.6000","0.70000","0.10000","19.7852"
"7","69","11.8000","0.70000","0.10000","31.7518"
"8","79","32.6000","0.70000","0.10000","18.2554"
"9","89","65.2000","0.70000","0.10000","32.4792"
"10","99","123.3000","0.70000","0.10000","39.2766"
