"id","generation_number","best_fitness","average_fitness","worst_fitness","crossover_probability","mutation_probability"
"1","0","0.2000","0.0200","0.0000","0.70000","0.10000"
"2","1","0.1000","0.0100","0.0000","0.70000","0.10000"
"3","2","1.0000","0.1100","0.0000","0.70000","0.10000"
"4","3","4.3000","0.4300","0.0000","0.70000","0.10000"
"5","4","2.4000","0.4500","0.0000","0.70000","0.10000"
"6","5","0.0000","0.0000","0.0000","0.70000","0.10000"
"7","6","6.3000","1.0100","0.0000","0.70000","0.10000"
"8","7","2.0000","0.2900","0.0000","0.70000","0.10000"
"9","8","0.0000","0.0000","0.0000","0.70000","0.10000"
"10","9","5.0000","0.6000","0.0000","0.70000","0.10000"
"11","10","2.6000","0.2600","0.0000","0.70000","0.10000"
"12","11","2.4000","0.4500","0.0000","0.70000","0.10000"
"13","12","2.6000","0.3000","0.0000","0.70000","0.10000"
"14","13","0.0000","0.0000","0.0000","0.70000","0.10000"
"15","14","0.6000","0.1100","0.0000","0.70000","0.10000"
"16","15","1.7000","0.2200","0.0000","0.70000","0.10000"
"17","16","1.8000","0.2300","0.0000","0.70000","0.10000"
"18","17","0.0000","0.0000","0.0000","0.70000","0.10000"
"19","18","3.1000","0.4300","0.0000","0.70000","0.10000"
"20","19","2.9000","0.7100","0.0000","0.70000","0.10000"
"21","20","1.6000","0.1600","0.0000","0.70000","0.10000"
"22","21","2.8000","0.5400","0.0000","0.70000","0.10000"
"23","22","3.0000","0.3000","0.0000","0.70000","0.10000"
"24","23","0.7000","0.1300","0.0000","0.70000","0.10000"
"25","24","3.2000","0.5300","0.0000","0.70000","0.10000"
"26","25","0.7000","0.0700","0.0000","0.70000","0.10000"
"27","26","2.8000","0.4800","0.0000","0.70000","0.10000"
"28","27","2.6000","0.4800","0.0000","0.70000","0.10000"
"29","28","13.8000","1.4800","0.0000","0.70000","0.10000"
"30","29","3.1000","0.3900","0.0000","0.70000","0.10000"
"31","30","4.6000","1.4700","0.0000","0.70000","0.10000"
"32","31","7.3000","1.0000","0.0000","0.70000","0.10000"
"33","32","12.4000","1.5400","0.0000","0.70000","0.10000"
"34","33","18.4000","4.5000","0.0000","0.70000","0.10000"
"35","34","2.4000","0.6500","0.0000","0.70000","0.10000"
"36","35","7.8000","1.7100","0.0000","0.70000","0.10000"
"37","36","3.4000","0.3400","0.0000","0.70000","0.10000"
"38","37","3.7000","0.5600","0.0000","0.70000","0.10000"
"39","38","6.5000","1.6200","0.0000","0.70000","0.10000"
"40","39","4.9000","1.0000","0.0000","0.70000","0.10000"
"41","40","28.9000","4.1400","0.0000","0.70000","0.10000"
"42","41","7.2000","1.5300","0.0000","0.70000","0.10000"
"43","42","11.9000","1.7400","0.0000","0.70000","0.10000"
"44","43","31.4000","3.1900","0.0000","0.70000","0.10000"
"45","44","27.9000","3.5200","0.0000","0.70000","0.10000"
"46","45","30.0000","3.3900","0.0000","0.70000","0.10000"
"47","46","28.7000","3.6000","0.0000","0.70000","0.10000"
"48","47","0.9000","0.0900","0.0000","0.70000","0.10000"
"49","48","3.8000","0.5900","0.0000","0.70000","0.10000"
"50","49","2.7000","0.2700","0.0000","0.70000","0.10000"
"51","50","14.2000","2.1400","0.0000","0.70000","0.10000"
"52","51","1.8000","0.1800","0.0000","0.70000","0.10000"
"53","52","0.2000","0.0400","0.0000","0.70000","0.10000"
"54","53","1.1000","0.1100","0.0000","0.70000","0.10000"
"55","54","4.4000","0.5500","0.0000","0.70000","0.10000"
"56","55","1.4000","0.2800","0.0000","0.70000","0.10000"
"57","56","33.2000","3.5700","0.0000","0.70000","0.10000"
"58","57","8.9000","1.0500","0.0000","0.70000","0.10000"
"59","58","27.6000","5.8900","0.0000","0.70000","0.10000"
"60","59","1.6000","0.1600","0.0000","0.70000","0.10000"
"61","60","3.4000","0.6800","0.0000","0.70000","0.10000"
"62","61","3.9000","0.4700","0.0000","0.70000","0.10000"
"63","62","17.4000","2.1400","0.0000","0.70000","0.10000"
"64","63","6.0000","0.6000","0.0000","0.70000","0.10000"
