"id","generation_number","best_fitness","average_fitness","worst_fitness","crossover_probability","mutation_probability"
"65","64","4.0000","0.5200","0.0000","0.70000","0.10000"
"66","65","20.4000","3.5600","0.0000","0.70000","0.10000"
"67","66","22.1000","4.9700","0.0000","0.70000","0.10000"
"68","67","3.2000","0.8600","0.0000","0.70000","0.10000"
"69","68","11.0000","2.2100","0.0000","0.70000","0.10000"
"70","69","11.8000","1.3700","0.0000","0.70000","0.10000"
"71","70","16.0000","4.3900","0.0000","0.70000","0.10000"
"72","71","29.9000","7.5200","0.0000","0.70000","0.10000"
"73","72","29.5000","8.8600","0.0000","0.70000","0.10000"
"74","73","19.1000","3.3700","0.0000","0.70000","0.10000"
"75","74","18.6000","3.9700","0.0000","0.70000","0.10000"
"76","75","32.7000","9.8200","0.0000","0.70000","0.10000"
"77","76","104.3000","19.7200","0.0000","0.70000","0.10000"
"78","77","19.4000","7.5100","0.0000","0.70000","0.10000"
"79","78","58.6000","15.7400","0.0000","0.70000","0.10000"
"80","79","32.6000","8.9400","0.0000","0.70000","0.10000"
"81","80","34.8000","13.1100","0.0000","0.70000","0.10000"
"82","81","27.2000","11.1900","0.0000","0.70000","0.10000"
"83","82","40.0000","10.0100","0.0000","0.70000","0.10000"
"84","83","31.0000","10.3000","0.0000","0.70000","0.10000"
"85","84","27.5000","8.5500","0.0000","0.70000","0.10000"
"86","85","48.1000","23.2300","0.0000","0.70000","0.10000"
"87","86","66.2000","22.6500","0.0000","0.70000","0.10000"
"88","87","64.4000","24.6400","2.2000","0.70000","0.10000"
"89","88","65.1000","29.3900","0.0000","0.70000","0.10000"
"90","89","65.2000","22.6100","1.4000","0.70000","0.10000"
"91","90","125.2000","36.8100","5.5000","0.70000","0.10000"
"92","91","68.6000","32.9100","0.0000","0.70000","0.10000"
"93","92","104.7000","38.6200","7.1000","0.70000","0.10000"
"94","93","72.4000","30.9200","5.0000","0.70000","0.10000"
"95","94","68.8000","31.9900","0.0000","0.70000","0.10000"
"96","95","89.5000","23.4100","0.0000","0.70000","0.10000"
"97","96","41.8000","13.8400","0.0000","0.70000","0.10000"
"98","97","73.3000","20.5000","0.0000","0.70000","0.10000"
"99","98","34.4000","14.8800","0.0000","0.70000","0.10000"
"100","99","123.3000","31.7500","0.0000","0.70000","0.10000"
