"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"genes"
"1";"9";"2720.0000";"0.7816";"0.2184";"-0.18162104607721763,-0.8490440625309595,-0.7957687728486732,-0.5256163548541029,0.4903004610846827,0.5001922403921841,0.8035153049550212,0.09058572770012752,0.15748943382960973,0.024373762014001488,-0.3173598921251237,-0.24257439013484208,0.07211587779955453,0.9553762295708854,0.48639665849736624,-0.6530585179825105,0.049097826704382896,0.27524629374966025,0.41283277429689313,0.47291155189412215,0.4315184625569025,0.46827301554891265,-0.22478316070168847,-0.06804705952942774,0.4449225652088299,-0.038522848033912455,-0.6084431780052677,-0.044654160922699804,0.4970428118737582,1,0.24595734545056258,0.7406156596173217,0.860724201133046,-0.7140839327863611,-1,0.1193245155736804,-0.6588515839539468,-0.27776683727279305,-0.25371559942141175,-0.7210505553521216,0.10812207637354732"
"2";"19";"1869.0000";"0.7816";"0.2184";"-0.3808565952501727,-0.7377720579520448,-0.2555282719047121,-0.9481890647057744,0.024866490526819836,0.009700994594921422,0.21159485241535542,-0.5649851776647569,0.1999720129653488,0.15485707443246,0.11124108401718535,0.15111041779937448,0.010733566089943733,0.8376818582389493,0.3732033507511506,-0.5682410959252278,0.018288625356703316,0.6508307675108085,0.15792427702194806,0.6474688659867104,0.11168956866301005,0.4916176840794784,0.2778170193904681,-0.16550716453405728,0.31489776806132824,-0.11726781136595656,-0.7421569252602694,0.08139686026346735,0.8635580126620431,1,-0.153113846202615,0.9489738680505255,0.30479357580032723,-0.9794135885463593,-1,0.05118562204239985,-1,0.40637451347912523,-0.481166722514692,-1,0.7419547441098352"
"3";"29";"3038.0000";"0.7816";"0.2184";"0.0027050695707611094,-0.9656795929899071,-0.22038824470137722,-0.9848658876144585,-0.16511525052716652,0.16077100178603837,0.5247488241441651,-0.9748824868525368,0.6037911861015088,0.23923808533656943,-0.10247867650041627,0.6558117479452159,0.16210096428620713,0.9391858644235639,0.5363227069912777,-0.770766378675203,-0.2660947765695087,1,0.005981707641054185,0.7024360969111506,0.1052419602697671,0.5959218859223208,0.6462684459659924,-0.16629029044237748,0.14692565853971665,-0.18500417790003498,-0.9556367082627876,0.14388148504845144,0.6573403216009241,0.8223190738237942,-0.22758706546639262,1,0.6183607534272338,-0.840189282185893,-0.6222305655359102,0.18826517479463623,-0.8742786471873912,0.15165993700786168,-0.6143100314074921,-0.941525412755972,0.8662701341980347"
"4";"39";"2823.0000";"0.7816";"0.2184";"-0.2457927037343784,-0.7746873155164445,0.13060816411126072,-0.9391919711748892,-0.5164863851948607,0.4107809186387893,0.09885972934193996,-0.3913851683651274,0.5917003243676364,0.3790950637662526,0.11871091167018315,0.34998489984939557,0.4374787128265629,1,0.8597338797135262,-0.4443436996059472,-0.31183128264132876,1,0.22148794847522668,1,0.0673218912707001,0.8883988975151895,0.70508550195236,-0.42303830251046265,0.2560649168262197,0.07156461632580641,-0.8130041537219195,-0.22985601136658698,0.5721227898423955,1,-0.153113846202615,0.9489738680505255,0.30479357580032723,-0.9794135885463593,-1,0.05118562204239985,-1,0.40637451347912523,-0.481166722514692,-1,0.7419547441098352"
"5";"49";"3139.0000";"0.7816";"0.2184";"-0.49773469840859885,-0.6901857992344494,0.11078084700844193,-0.6465072224592472,-0.5164863851948607,0.4107809186387893,0.09885972934193996,-0.8424885440502514,0.830154057456455,0.010380680992396682,-0.2614586532013695,0.6558117479452159,0.16210096428620713,0.9391858644235639,0.5363227069912777,-0.9157900539659346,-0.5406041101620132,0.5764541615256118,0.47430438346766246,0.6140302491400846,0.42201183023617583,0.14218197947728906,0.5284028426796997,-0.398232887064064,-0.1465216756104803,0.16600117851124324,-0.7058382958871088,-0.22985601136658698,0.5721227898423955,1,-0.153113846202615,0.9489738680505255,0.30479357580032723,-0.9794135885463593,-0.8054251316712435,0.39632523784292184,-0.9752653986718303,0.676180898520762,-0.428760460808611,-1,0.9315428856276375"
"6";"59";"2985.0000";"0.7816";"0.2184";"-0.4554993067208345,-1,-0.05862024156891237,-0.6469484610598734,-0.5164863851948607,0.4107809186387893,0.09885972934193996,-0.7257622763688063,0.850925200481159,-0.10149075227054012,-0.35180407510458994,0.5059399901389026,0.2253735990559247,0.7649980366537785,0.23279257075791726,-1,-0.4461004445474863,0.5764541615256118,0.47430438346766246,0.6140302491400846,0.42201183023617583,0.14218197947728906,0.5284028426796997,-0.933863474640643,-0.18346232216240455,-0.12670927575669416,-0.7458932053625036,0.17171230052760728,0.7191354208183256,0.7364800144511154,0.5265495455198288,0.7660229882350205,0.2427446968938984,-0.8950339482858212,-0.9724925503633095,0.0830815308897709,-0.5712975007606405,0.33594565169599633,-0.7969210858424064,-0.7228834648108345,0.7129591401745801"
"7";"69";"1840.0000";"0.7816";"0.2184";"-0.2251799773499492,-0.8496167429863274,0.08005447918278746,-0.6336067967305756,-0.3469477126417472,-0.24627592973522747,0.0660075880724718,-0.653530493617685,0.0815169105516739,0.20926096593287247,-1,0.2577273582068386,-0.23621001024207608,1,0.9865577004101258,-0.8260305338388918,-0.4830215965713923,0.5753471713579948,1,0.6484076929338417,0.7885766494734401,0.4792368169520095,0.4547660461893211,-0.9518574608137572,-0.44327584896249167,-0.4385084317378116,-0.7458932053625036,0.17171230052760728,0.7191354208183256,0.4697071568411923,0.6136063614802437,1,0.028688495537392333,-0.8950339482858212,-0.9724925503633095,-0.012301771229714403,-0.6738362926676207,0.33594565169599633,-0.7969210858424064,-0.7228834648108345,0.7129591401745801"
"8";"79";"3222.0000";"0.7816";"0.2184";"-0.2893085836511557,-0.6948841628877936,-0.26551720677762825,-1,-0.21591970255706644,-0.14365049280531994,0.0015918300426270848,-1,-0.7100967857825343,0.8411977353876081,0.1066949087508805,0.49157077314635295,-0.3829274820047427,0.5616640995726307,0.7565241861806917,-0.9395284479314092,0.3069859043439397,0.2736938852802392,1,0.808334585915053,0.8748924121460109,-0.019497787587170676,1,-0.9427513045616878,-0.5522431659843153,0.12363001693460901,-1,0.40783742888060814,0.8432802895105215,0.4580394480048725,0.871507090811511,0.908841816523619,-0.14308462395697258,-0.673335968468951,-1,0.24101909715855838,-0.7420759176283731,0.7550293386861586,-1,-1,0.9977561151540911"
"9";"89";"3216.0000";"0.7816";"0.2184";"-0.6099002502363147,-0.6948841628877936,-0.26551720677762825,-1,-0.21591970255706644,0.2494423713201469,-0.6235862602270645,-0.5843264307686055,-1,0.66570170392024,-0.0017019391727863264,0.7612248851896775,-0.3145040941418097,0.4771290773453657,0.776233532724541,-0.3932476471172416,0.4161892996735099,-0.20832546077225253,0.8929772561493534,0.20995657617966768,1,0.23234249687444014,0.979962493071035,-1,-1,0.12363001693460901,-1,0.40783742888060814,0.44325391121225377,0.39335243470998627,1,0.7905382313883111,-0.02194171866126414,-0.5306577295464077,-0.5722921080001098,0.6420676418362197,-0.37472710903007844,0.6849052439875529,-1,-0.6919310548722543,1"
"10";"99";"1895.0000";"0.7816";"0.2184";"0.4444181223310312,-0.5094965315553691,-0.1978974008559924,-0.7367363326255411,0.22552877183679118,0.2681116939903949,-0.7261974191200902,-0.6097529867369156,-0.27410821111835293,1,0.046296235317153656,1,-0.020179845900318932,0.7194713378115437,0.7967361552829645,-0.4546179280092058,0.6037044644283429,-0.24785375109225394,0.5126922823670859,0.07483451359650861,0.6970399145246609,-0.016357163075259,1,-0.5983750501359733,-0.8820227618639807,0.05729045517589931,-1,-0.15309045983016645,0.9383947702077085,1,1,0.8916176813478205,0.4403585842344108,-1,-0.5790286308763612,0.1933784733430412,-0.2442011499386482,1,-1,-0.784457421027956,0.9215630272185349"
