"id";"generation_number";"fitness";"crossover_probability";"mutation_probability";"average_ball_in_play_time"
"1";"9";"2720.0000";"0.7816";"0.2184";"37.4872"
"2";"19";"1869.0000";"0.7816";"0.2184";"41.3962"
"3";"29";"3038.0000";"0.7816";"0.2184";"32.0900"
"4";"39";"2823.0000";"0.7816";"0.2184";"43.5484"
"5";"49";"3139.0000";"0.7816";"0.2184";"31.0032"
"6";"59";"2985.0000";"0.7816";"0.2184";"46.6340"
"7";"69";"1840.0000";"0.7816";"0.2184";"22.9394"
"8";"79";"3222.0000";"0.7816";"0.2184";"40.7028"
"9";"89";"3216.0000";"0.7816";"0.2184";"36.6336"
"10";"99";"1895.0000";"0.7816";"0.2184";"40.4298"
