"id","generation_number","best_fitness","average_fitness","worst_fitness","crossover_probability","mutation_probability"
"1","0","634.0000","108.6000","24.0000","0.0010","0.0010"
"2","1","805.0000","195.8000","12.0000","0.0010","0.0010"
"3","2","496.0000","130.8000","20.0000","0.0010","0.0010"
"4","3","423.0000","122.5000","15.0000","0.0010","0.0010"
"5","4","165.0000","41.8000","5.0000","0.0010","0.0010"
"6","5","654.0000","134.9000","20.0000","0.0010","0.0010"
"7","6","541.0000","119.1000","6.0000","0.0010","0.0010"
"8","7","780.0000","172.0000","34.0000","0.0010","0.0010"
"9","8","619.0000","102.6000","9.0000","0.0010","0.0010"
"10","9","598.0000","164.3000","11.0000","0.0010","0.0010"
"11","10","1876.0000","241.6000","11.0000","0.0010","0.0010"
"12","11","547.0000","132.5000","19.0000","0.0010","0.0010"
"13","12","763.0000","201.2000","13.0000","0.0010","0.0010"
"14","13","661.0000","139.8000","14.0000","0.0010","0.0010"
"15","14","653.0000","128.0000","22.0000","0.0010","0.0010"
"16","15","351.0000","115.4000","23.0000","0.0010","0.0010"
"17","16","356.0000","124.3000","20.0000","0.0010","0.0010"
"18","17","898.0000","168.3000","28.0000","0.0010","0.0010"
"19","18","187.0000","61.9000","13.0000","0.0010","0.0010"
"20","19","692.0000","200.7000","21.0000","0.0010","0.0010"
"21","20","172.0000","66.0000","10.0000","0.0010","0.0010"
"22","21","173.0000","54.9000","18.0000","0.0010","0.0010"
"23","22","239.0000","93.0000","14.0000","0.0010","0.0010"
"24","23","1056.0000","144.4000","29.0000","0.0010","0.0010"
"25","24","296.0000","80.4000","12.0000","0.0010","0.0010"
"26","25","701.0000","121.5000","16.0000","0.0010","0.0010"
"27","26","620.0000","148.3000","16.0000","0.0010","0.0010"
"28","27","145.0000","68.2000","17.0000","0.0010","0.0010"
"29","28","651.0000","201.0000","15.0000","0.0010","0.0010"
"30","29","59.0000","43.7000","21.0000","0.0010","0.0010"
"31","30","1376.0000","262.8000","12.0000","0.0010","0.0010"
"32","31","680.0000","211.3000","36.0000","0.0010","0.0010"
"33","32","589.0000","134.1000","30.0000","0.0010","0.0010"
"34","33","409.0000","86.8000","14.0000","0.0010","0.0010"
"35","34","924.0000","165.9000","21.0000","0.0010","0.0010"
"36","35","568.0000","174.8000","20.0000","0.0010","0.0010"
"37","36","917.0000","197.2000","17.0000","0.0010","0.0010"
"38","37","454.0000","140.1000","30.0000","0.0010","0.0010"
"39","38","149.0000","63.2000","26.0000","0.0010","0.0010"
"40","39","440.0000","148.9000","33.0000","0.0010","0.0010"
"41","40","381.0000","109.5000","25.0000","0.0010","0.0010"
"42","41","320.0000","98.7000","12.0000","0.0010","0.0010"
"43","42","396.0000","96.4000","8.0000","0.0010","0.0010"
"44","43","590.0000","152.3000","15.0000","0.0010","0.0010"
"45","44","612.0000","122.1000","15.0000","0.0010","0.0010"
"46","45","210.0000","89.6000","27.0000","0.0010","0.0010"
"47","46","1689.0000","215.9000","30.0000","0.0010","0.0010"
"48","47","661.0000","155.7000","18.0000","0.0010","0.0010"
"49","48","1003.0000","250.4000","18.0000","0.0010","0.0010"
"50","49","2365.0000","348.8000","20.0000","0.0010","0.0010"
"51","50","1262.0000","251.0000","11.0000","0.0010","0.0010"
"52","51","267.0000","76.9000","16.0000","0.0010","0.0010"
"53","52","219.0000","81.0000","33.0000","0.0010","0.0010"
"54","53","423.0000","172.8000","44.0000","0.0010","0.0010"
"55","54","584.0000","162.2000","24.0000","0.0010","0.0010"
"56","55","1374.0000","235.0000","21.0000","0.0010","0.0010"
"57","56","1084.0000","196.1000","19.0000","0.0010","0.0010"
"58","57","488.0000","139.8000","21.0000","0.0010","0.0010"
"59","58","2481.0000","354.0000","14.0000","0.0010","0.0010"
"60","59","950.0000","345.4000","34.0000","0.0010","0.0010"
"61","60","136.0000","63.4000","18.0000","0.0010","0.0010"
"62","61","270.0000","78.9000","9.0000","0.0010","0.0010"
"63","62","240.0000","58.7000","12.0000","0.0010","0.0010"
"64","63","769.0000","156.0000","26.0000","0.0010","0.0010"
"65","64","217.0000","63.1000","14.0000","0.0010","0.0010"
"66","65","427.0000","127.3000","16.0000","0.0010","0.0010"
"67","66","1972.0000","277.9000","11.0000","0.0010","0.0010"
"68","67","216.0000","53.0000","13.0000","0.0010","0.0010"
"69","68","484.0000","101.4000","22.0000","0.0010","0.0010"
"70","69","2019.0000","244.4000","10.0000","0.0010","0.0010"
"71","70","101.0000","44.5000","8.0000","0.0010","0.0010"
"72","71","1275.0000","221.5000","15.0000","0.0010","0.0010"
"73","72","810.0000","160.9000","18.0000","0.0010","0.0010"
"74","73","813.0000","233.4000","25.0000","0.0010","0.0010"
"75","74","837.0000","116.2000","17.0000","0.0010","0.0010"
"76","75","345.0000","119.2000","21.0000","0.0010","0.0010"
"77","76","1183.0000","207.2000","14.0000","0.0010","0.0010"
"78","77","777.0000","193.0000","27.0000","0.0010","0.0010"
"79","78","910.0000","160.4000","32.0000","0.0010","0.0010"
"80","79","234.0000","99.5000","23.0000","0.0010","0.0010"
"81","80","391.0000","204.1000","16.0000","0.0010","0.0010"
"82","81","678.0000","151.5000","19.0000","0.0010","0.0010"
"83","82","2511.0000","323.0000","17.0000","0.0010","0.0010"
"84","83","367.0000","115.1000","13.0000","0.0010","0.0010"
"85","84","888.0000","171.5000","15.0000","0.0010","0.0010"
"86","85","1236.0000","192.6000","25.0000","0.0010","0.0010"
"87","86","231.0000","91.7000","12.0000","0.0010","0.0010"
"88","87","883.0000","390.1000","15.0000","0.0010","0.0010"
"89","88","404.0000","101.8000","18.0000","0.0010","0.0010"
"90","89","334.0000","145.9000","27.0000","0.0010","0.0010"
"91","90","172.0000","62.1000","19.0000","0.0010","0.0010"
"92","91","2407.0000","564.2000","14.0000","0.0010","0.0010"
"93","92","2640.0000","394.7000","23.0000","0.0010","0.0010"
"94","93","560.0000","118.2000","12.0000","0.0010","0.0010"
"95","94","552.0000","146.2000","21.0000","0.0010","0.0010"
"96","95","895.0000","154.2000","25.0000","0.0010","0.0010"
"97","96","54.0000","30.3000","13.0000","0.0010","0.0010"
"98","97","485.0000","178.4000","21.0000","0.0010","0.0010"
"99","98","421.0000","162.5000","12.0000","0.0010","0.0010"
"100","99","217.0000","93.8000","20.0000","0.0010","0.0010"
